1 1:179.0767 2:3.8989797 3:8.426876 4:-3.6642318 5:6.3071465 6:-4.3554254 7:1.5342019 8:-4.307548 9:2.619844 10:-3.1792126 11:2.7334466 12:-4.438395 13:4.784523 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:176.39908 2:4.7426486 3:5.171674 4:-2.547547 5:3.4970562 6:-4.276507 7:0.95135516 8:-2.2415655 9:6.422569 10:-2.4184163 11:3.282982 12:-2.0746279 13:3.931628 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:176.39908 2:4.7426486 3:5.171674 4:-2.547547 5:3.4970562 6:-4.276507 7:0.95135516 8:-2.2415655 9:6.422569 10:-2.4184163 11:3.282982 12:-2.0746279 13:3.931628 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:189.90048 2:1.611116 3:2.4620538 4:-4.385031 5:2.4276423 6:-3.1787724 7:-0.54542136 8:-0.055817846 9:3.903907 10:-4.7694335 11:2.4085858 12:-0.8776985 13:2.2716584 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:189.90048 2:1.611116 3:2.4620538 4:-4.385031 5:2.4276423 6:-3.1787724 7:-0.54542136 8:-0.055817846 9:3.903907 10:-4.7694335 11:2.4085858 12:-0.8776985 13:2.2716584 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:215.80663 2:9.241563 3:3.674887 4:-0.27271435 5:5.026554 6:-7.5432296 7:-0.7262129 8:1.2154499 9:4.1014237 10:-5.5288877 11:3.521384 12:-2.9468799 13:3.4652793 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:215.80663 2:9.241563 3:3.674887 4:-0.27271435 5:5.026554 6:-7.5432296 7:-0.7262129 8:1.2154499 9:4.1014237 10:-5.5288877 11:3.521384 12:-2.9468799 13:3.4652793 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:181.40991 2:4.956673 3:3.5359516 4:-2.871154 5:5.1086173 6:-5.245814 7:0.7674447 8:-4.878943 9:2.0237424 10:-2.7428894 11:4.179558 12:-0.8238997 13:2.9071584 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:181.40991 2:4.956673 3:3.5359516 4:-2.871154 5:5.1086173 6:-5.245814 7:0.7674447 8:-4.878943 9:2.0237424 10:-2.7428894 11:4.179558 12:-0.8238997 13:2.9071584 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:169.83443 2:5.7480593 3:6.8503895 4:-4.5695515 5:5.7669225 6:-5.3797517 7:3.758146 8:-1.8938426 9:1.8369911 10:-3.898945 11:2.3354 12:-1.2218593 13:0.817821 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:169.83443 2:5.7480593 3:6.8503895 4:-4.5695515 5:5.7669225 6:-5.3797517 7:3.758146 8:-1.8938426 9:1.8369911 10:-3.898945 11:2.3354 12:-1.2218593 13:0.817821 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:152.85687 2:3.8512633 3:4.550821 4:-5.2503676 5:6.25886 6:-5.9228163 7:0.11697567 8:0.5419462 9:4.1626883 10:-3.444087 11:4.0284214 12:-1.9692063 13:1.294495 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:152.85687 2:3.8512633 3:4.550821 4:-5.2503676 5:6.25886 6:-5.9228163 7:0.11697567 8:0.5419462 9:4.1626883 10:-3.444087 11:4.0284214 12:-1.9692063 13:1.294495 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:139.06998 2:6.1395626 3:6.920559 4:0.39757395 5:7.092465 6:-3.9842372 7:-0.6970755 8:-2.0934396 9:4.4075074 10:-3.183605 11:4.075495 12:-5.1173286 13:1.557659 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:139.06998 2:6.1395626 3:6.920559 4:0.39757395 5:7.092465 6:-3.9842372 7:-0.6970755 8:-2.0934396 9:4.4075074 10:-3.183605 11:4.075495 12:-5.1173286 13:1.557659 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:132.53836 2:4.834347 3:6.1158705 4:-0.5992006 5:6.505377 6:-4.3518977 7:4.817429 8:-2.0612688 9:3.1174555 10:-4.5765557 11:4.7880144 12:-1.5490938 13:1.4785681 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:132.53836 2:4.834347 3:6.1158705 4:-0.5992006 5:6.505377 6:-4.3518977 7:4.817429 8:-2.0612688 9:3.1174555 10:-4.5765557 11:4.7880144 12:-1.5490938 13:1.4785681 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:122.59883 2:4.0385194 3:5.4011464 4:-1.3456392 5:5.620137 6:-6.640206 7:-0.06838177 8:-3.302266 9:4.123388 10:-3.3988705 11:3.1893337 12:-3.8630023 13:1.5334027 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:122.59883 2:4.0385194 3:5.4011464 4:-1.3456392 5:5.620137 6:-6.640206 7:-0.06838177 8:-3.302266 9:4.123388 10:-3.3988705 11:3.1893337 12:-3.8630023 13:1.5334027 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:112.29932 2:3.368265 3:6.6823688 4:-5.53794 5:1.7457283 6:-3.589379 7:-0.60493267 8:-5.274732 9:1.9880942 10:-2.382465 11:-0.3400777 12:-3.5675244 13:5.139661 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:112.29932 2:3.368265 3:6.6823688 4:-5.53794 5:1.7457283 6:-3.589379 7:-0.60493267 8:-5.274732 9:1.9880942 10:-2.382465 11:-0.3400777 12:-3.5675244 13:5.139661 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:113.12264 2:-0.071665294 3:-0.5032574 4:-4.262588 5:2.7474408 6:-0.59606487 7:1.6199977 8:-3.125751 9:4.1756945 10:-3.5203736 11:5.6111383 12:-1.0970665 13:2.6666071 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:113.12264 2:-0.071665294 3:-0.5032574 4:-4.262588 5:2.7474408 6:-0.59606487 7:1.6199977 8:-3.125751 9:4.1756945 10:-3.5203736 11:5.6111383 12:-1.0970665 13:2.6666071 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:108.12063 2:-2.5108202 3:4.437876 4:-1.0892793 5:3.7998312 6:-1.0316416 7:3.1961474 8:-2.734237 9:5.2835717 10:-0.7862498 11:2.4491916 12:0.3834677 13:4.6365414 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:108.12063 2:-2.5108202 3:4.437876 4:-1.0892793 5:3.7998312 6:-1.0316416 7:3.1961474 8:-2.734237 9:5.2835717 10:-0.7862498 11:2.4491916 12:0.3834677 13:4.6365414 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:97.17335 2:-2.2903955 3:8.690155 4:0.94975954 5:6.4112244 6:-5.1034136 7:0.18804318 8:-1.5264031 9:1.0937791 10:-2.1129107 11:1.7405584 12:-3.2064674 13:5.0134583 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:97.17335 2:-2.2903955 3:8.690155 4:0.94975954 5:6.4112244 6:-5.1034136 7:0.18804318 8:-1.5264031 9:1.0937791 10:-2.1129107 11:1.7405584 12:-3.2064674 13:5.0134583 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:100.304016 2:0.6608621 3:4.384736 4:-0.1304084 5:5.816809 6:-1.7594163 7:0.45919552 8:-6.216116 9:3.6755865 10:-1.3262304 11:2.6072736 12:-1.7959404 13:4.3421664 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:100.304016 2:0.6608621 3:4.384736 4:-0.1304084 5:5.816809 6:-1.7594163 7:0.45919552 8:-6.216116 9:3.6755865 10:-1.3262304 11:2.6072736 12:-1.7959404 13:4.3421664 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:105.3257 2:0.11456811 3:6.4817696 4:-0.60917896 5:3.60348 6:0.046269264 7:3.6598706 8:-2.5939739 9:3.1545684 10:-3.914291 11:2.0718305 12:-1.6277025 13:4.0723963 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:105.3257 2:0.11456811 3:6.4817696 4:-0.60917896 5:3.60348 6:0.046269264 7:3.6598706 8:-2.5939739 9:3.1545684 10:-3.914291 11:2.0718305 12:-1.6277025 13:4.0723963 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:103.32553 2:-4.5084352 3:4.954859 4:2.8371937 5:5.4820585 6:-0.8607522 7:2.7484093 8:-2.2407656 9:2.414806 10:-5.322696 11:-0.3577237 12:-1.8068093 13:4.07237 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:103.32553 2:-4.5084352 3:4.954859 4:2.8371937 5:5.4820585 6:-0.8607522 7:2.7484093 8:-2.2407656 9:2.414806 10:-5.322696 11:-0.3577237 12:-1.8068093 13:4.07237 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:102.23727 2:0.33954754 3:5.6171203 4:-1.0885998 5:4.5119524 6:-1.0721743 7:-0.8667157 8:-2.3495636 9:3.7540896 10:-1.9791938 11:3.0900397 12:-4.528086 13:2.8167617 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:102.23727 2:0.33954754 3:5.6171203 4:-1.0885998 5:4.5119524 6:-1.0721743 7:-0.8667157 8:-2.3495636 9:3.7540896 10:-1.9791938 11:3.0900397 12:-4.528086 13:2.8167617 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:105.460594 2:-2.5844476 3:3.620503 4:0.7438722 5:4.6284037 6:-3.1265774 7:2.5806272 8:-0.76710147 9:4.197885 10:0.84261394 11:5.138608 12:-0.9860969 13:3.9248679 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:105.460594 2:-2.5844476 3:3.620503 4:0.7438722 5:4.6284037 6:-3.1265774 7:2.5806272 8:-0.76710147 9:4.197885 10:0.84261394 11:5.138608 12:-0.9860969 13:3.9248679 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:99.74028 2:0.52020025 3:6.86753 4:-2.8109462 5:5.617358 6:-1.1340312 7:1.4215686 8:-4.230069 9:0.91739213 10:-2.417368 11:2.0390258 12:-2.8905196 13:2.2839565 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:99.74028 2:0.52020025 3:6.86753 4:-2.8109462 5:5.617358 6:-1.1340312 7:1.4215686 8:-4.230069 9:0.91739213 10:-2.417368 11:2.0390258 12:-2.8905196 13:2.2839565 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:106.40617 2:-0.32535824 3:7.500226 4:-3.0461287 5:0.024521463 6:-0.30019063 7:2.661131 8:-1.2446728 9:2.9420686 10:-0.40543038 11:3.4343998 12:-3.2526944 13:4.6546507 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:106.40617 2:-0.32535824 3:7.500226 4:-3.0461287 5:0.024521463 6:-0.30019063 7:2.661131 8:-1.2446728 9:2.9420686 10:-0.40543038 11:3.4343998 12:-3.2526944 13:4.6546507 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:101.69745 2:-0.012095675 3:8.707283 4:-2.1191564 5:0.07095141 6:1.5645798 7:4.906891 8:-3.2253807 9:2.704679 10:-1.2286904 11:0.4595078 12:-3.5076516 13:5.2125616 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:101.69745 2:-0.012095675 3:8.707283 4:-2.1191564 5:0.07095141 6:1.5645798 7:4.906891 8:-3.2253807 9:2.704679 10:-1.2286904 11:0.4595078 12:-3.5076516 13:5.2125616 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:95.38815 2:-0.5011029 3:6.982864 4:-1.1964786 5:3.6911466 6:0.42833456 7:6.720705 8:-1.1229998 9:2.3419046 10:-1.5579091 11:3.969401 12:-3.2140996 13:3.902237 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:95.38815 2:-0.5011029 3:6.982864 4:-1.1964786 5:3.6911466 6:0.42833456 7:6.720705 8:-1.1229998 9:2.3419046 10:-1.5579091 11:3.969401 12:-3.2140996 13:3.902237 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:107.79548 2:-3.9614816 3:2.18594 4:0.00732338 5:2.298569 6:-0.83653224 7:5.5589833 8:2.8302164 9:4.34978 10:-2.3782687 11:5.9467525 12:-2.013045 13:5.0482697 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:107.79548 2:-3.9614816 3:2.18594 4:0.00732338 5:2.298569 6:-0.83653224 7:5.5589833 8:2.8302164 9:4.34978 10:-2.3782687 11:5.9467525 12:-2.013045 13:5.0482697 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:109.40795 2:3.0693932 3:7.975942 4:2.4548397 5:2.0647879 6:-4.1599436 7:3.6578715 8:-1.3480011 9:4.777441 10:-0.8066532 11:2.998871 12:-5.4326644 13:3.0995977 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:109.40795 2:3.0693932 3:7.975942 4:2.4548397 5:2.0647879 6:-4.1599436 7:3.6578715 8:-1.3480011 9:4.777441 10:-0.8066532 11:2.998871 12:-5.4326644 13:3.0995977 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:151.89186 2:11.508625 3:14.250153 4:-2.3591778 5:6.0016427 6:-3.3140466 7:5.7795916 8:-1.3486524 9:8.375605 10:-2.6451433 11:4.645716 12:-6.0625887 13:4.764574 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:151.89186 2:11.508625 3:14.250153 4:-2.3591778 5:6.0016427 6:-3.3140466 7:5.7795916 8:-1.3486524 9:8.375605 10:-2.6451433 11:4.645716 12:-6.0625887 13:4.764574 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:157.20953 2:2.8402863 3:9.466293 4:-4.2713976 5:1.8488086 6:-4.259545 7:7.7262416 8:-2.8555884 9:6.252859 10:-2.0959086 11:3.795851 12:-5.4821362 13:4.72242 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:157.20953 2:2.8402863 3:9.466293 4:-4.2713976 5:1.8488086 6:-4.259545 7:7.7262416 8:-2.8555884 9:6.252859 10:-2.0959086 11:3.795851 12:-5.4821362 13:4.72242 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:158.58224 2:7.2122645 3:8.875615 4:-2.6707165 5:4.132203 6:-2.6710029 7:5.9915857 8:-1.7540252 9:7.7648773 10:-2.7485654 11:6.7551274 12:-3.8448665 13:6.7426205 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
