1 1:146.63824 2:1.7120513 3:3.2880561 4:-3.585783 5:6.3553576 6:-0.3700592 7:0.09201556 8:-4.433848 9:1.0624726 10:-1.4121197 11:1.4923285 12:-3.384357 13:0.68624514 14:146.63824 15:1.7120513 16:3.2880561 17:-3.585783 18:6.3553576 19:-0.3700592 20:0.09201556 21:-4.433848 22:1.0624726 23:-1.4121197 24:1.4923285 25:-3.384357 26:0.68624514 
1 1:319.53836 2:16.851902 3:4.256363 4:-3.5275505 5:7.0352817 6:-4.8024592 7:4.461879 8:-4.616401 9:4.842663 10:-3.5984194 11:4.0232162 12:-4.016275 13:4.379231 14:319.53836 15:16.851902 16:4.256363 17:-3.5275505 18:7.0352817 19:-4.8024592 20:4.461879 21:-4.616401 22:4.842663 23:-3.5984194 24:4.0232162 25:-4.016275 26:4.379231 
1 1:279.3778 2:14.003131 3:7.710369 4:-4.774181 5:8.891412 6:-5.5102487 7:5.4484453 8:-5.068491 9:5.3744297 10:-3.9167435 11:4.260959 12:-4.0044765 13:4.744298 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:279.3778 2:14.003131 3:7.710369 4:-4.774181 5:8.891412 6:-5.5102487 7:5.4484453 8:-5.068491 9:5.3744297 10:-3.9167435 11:4.260959 12:-4.0044765 13:4.744298 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:202.42926 2:3.2661235 3:8.11685 4:-5.792311 5:5.416793 6:-4.8073053 7:4.5993476 8:-6.8796673 9:5.896896 10:-4.556062 11:4.5674176 12:-5.5111117 13:5.5415683 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:202.42926 2:3.2661235 3:8.11685 4:-5.792311 5:5.416793 6:-4.8073053 7:4.5993476 8:-6.8796673 9:5.896896 10:-4.556062 11:4.5674176 12:-5.5111117 13:5.5415683 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:203.98203 2:1.7986095 3:6.6614 4:-4.290758 5:5.940298 6:-4.082137 7:5.4843516 8:-4.000102 9:4.693161 10:-4.2226834 11:5.0935183 12:-3.4784908 13:5.4556336 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:203.98203 2:1.7986095 3:6.6614 4:-4.290758 5:5.940298 6:-4.082137 7:5.4843516 8:-4.000102 9:4.693161 10:-4.2226834 11:5.0935183 12:-3.4784908 13:5.4556336 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:189.37491 2:5.9357944 3:7.3363047 4:-5.0220094 5:4.701665 6:-4.4081855 7:4.290491 8:-4.3686237 9:5.5254436 10:-3.6865892 11:4.0305634 12:-4.412702 13:5.3545833 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:189.37491 2:5.9357944 3:7.3363047 4:-5.0220094 5:4.701665 6:-4.4081855 7:4.290491 8:-4.3686237 9:5.5254436 10:-3.6865892 11:4.0305634 12:-4.412702 13:5.3545833 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:171.92505 2:4.4782076 3:7.013862 4:-1.4847776 5:5.7018805 6:-4.369464 7:2.1360204 8:-6.11883 9:6.6341724 10:-0.7428964 11:4.4093127 12:-4.7302814 13:4.511859 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:171.92505 2:4.4782076 3:7.013862 4:-1.4847776 5:5.7018805 6:-4.369464 7:2.1360204 8:-6.11883 9:6.6341724 10:-0.7428964 11:4.4093127 12:-4.7302814 13:4.511859 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:170.29312 2:5.754464 3:3.4819303 4:-1.5125235 5:9.464382 6:-3.1892323 7:3.3858001 8:-3.2151036 9:6.079575 10:0.43855202 11:2.0922935 12:-4.247545 13:4.629455 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:170.29312 2:5.754464 3:3.4819303 4:-1.5125235 5:9.464382 6:-3.1892323 7:3.3858001 8:-3.2151036 9:6.079575 10:0.43855202 11:2.0922935 12:-4.247545 13:4.629455 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:164.98132 2:5.409251 3:3.9492538 4:-1.7567518 5:7.637659 6:-3.574335 7:4.204241 8:-4.302686 9:1.1179205 10:-1.4411205 11:2.8784463 12:-3.3014882 13:2.2854853 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:164.98132 2:5.409251 3:3.9492538 4:-1.7567518 5:7.637659 6:-3.574335 7:4.204241 8:-4.302686 9:1.1179205 10:-1.4411205 11:2.8784463 12:-3.3014882 13:2.2854853 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:163.03934 2:7.763535 3:6.975666 4:-2.4554045 5:3.0799935 6:-2.871537 7:1.8659773 8:-5.0330353 9:3.3080738 10:-3.8924572 11:4.7541347 12:-2.5652423 13:1.908737 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:163.03934 2:7.763535 3:6.975666 4:-2.4554045 5:3.0799935 6:-2.871537 7:1.8659773 8:-5.0330353 9:3.3080738 10:-3.8924572 11:4.7541347 12:-2.5652423 13:1.908737 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:149.02048 2:8.317489 3:7.279441 4:-3.840055 5:6.039539 6:-1.4082925 7:2.5400863 8:-3.6610765 9:0.94529694 10:-0.8329577 11:4.4241843 12:-3.6314497 13:2.2391646 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:149.02048 2:8.317489 3:7.279441 4:-3.840055 5:6.039539 6:-1.4082925 7:2.5400863 8:-3.6610765 9:0.94529694 10:-0.8329577 11:4.4241843 12:-3.6314497 13:2.2391646 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:138.65436 2:3.6636055 3:1.5240979 4:-5.5317187 5:5.730226 6:-1.573603 7:3.9921615 8:-2.9391446 9:4.4725194 10:0.084989436 11:5.00073 12:0.078807525 13:2.2852232 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:138.65436 2:3.6636055 3:1.5240979 4:-5.5317187 5:5.730226 6:-1.573603 7:3.9921615 8:-2.9391446 9:4.4725194 10:0.084989436 11:5.00073 12:0.078807525 13:2.2852232 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
1 1:128.30775 2:2.5737615 3:-0.5892869 4:-1.8783076 5:5.547395 6:-3.6420758 7:7.913525 8:0.3824921 9:2.40979 10:-2.772224 11:3.7459178 12:-0.83029026 13:5.218337 14:70.81073 15:5.661437 16:4.7789755 17:1.4171242 18:3.5206294 19:0.033636477 20:1.1719638 21:-3.4365776 22:2.2585468 23:-1.117969 24:0.9775755 25:-1.4294826 26:1.7256434 
